host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,price,Host_response_time,Host_reponse_rate,Host_acceptance_rate,Host_is_superhost,Host_identity_verified,Instant_bookable
within an hour,100%,99%,f,Boston Theater District,t,42.35104,-71.06551,Other,Entire home/apt,2,1.0,1.0,1.0,1,1125,1,0,2.0,4.0,5.0,1.0,5.0,4.0,2.0,STR-422488,t,$60.00,Fast,1.0,0.99,False,True,True
within an hour,100%,99%,f,Boston Theater District,t,42.32643896,-71.0887581,Other,Entire home/apt,8,1.5,4.0,4.0,1,1125,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,STR-460218,t,$131.00,Fast,1.0,0.99,False,True,True
within an hour,100%,99%,f,South End,t,42.34215396,-71.08079858,Other,Entire home/apt,2,1.0,0.0,1.0,1,14,5,2,4.4,4.2,4.8,4.6,4.6,5.0,3.8,STR-457097,t,$278.00,Fast,1.0,0.99,False,True,True
within an hour,100%,99%,f,South End,t,42.34288,-71.0785,Other,Entire home/apt,2,1.0,0.0,1.0,1,14,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,STR-457097,t,$280.00,Fast,1.0,0.99,False,True,True
within an hour,100%,91%,t,Franklin Field North,t,42.2960109,-71.08635488,Other,Private room,2,1.0,1.0,1.0,2,365,9,4,4.67,4.56,4.56,4.89,4.67,3.78,4.56,STR-524666,f,$74.00,Fast,1.0,0.91,True,True,False
within an hour,100%,91%,t,Franklin Field North,t,42.29619208,-71.08463924,Other,Private room,2,1.0,1.0,0.0,1,365,9,4,4.44,4.67,4.78,4.67,4.56,4.67,4.56,STR-524666,f,$74.00,Fast,1.0,0.91,True,True,False
within an hour,100%,99%,f,South End,t,42.34239125,-71.08079379,Other,Entire home/apt,2,1.0,0.0,1.0,1,21,0,0,4.84,4.88,4.86,4.94,4.95,4.845,4.72,STR-457097,t,$235.00,Fast,1.0,0.99,False,True,True
within an hour,100%,98%,f,Theater District,f,42.35317221,-71.06327776,Other,Entire home/apt,6,1.0,2.0,2.0,1,365,0,0,4.84,4.88,4.86,4.94,4.95,4.845,4.72,Exempt: This listing is a unit that has contracts with hospitals,f,$309.00,Fast,1.0,0.98,False,False,False
within an hour,100%,100%,f,Roslindale,t,42.28117408,-71.1538144,House,Entire home/apt,6,1.5,3.0,4.0,3,1125,0,0,4.84,4.88,4.86,4.94,4.95,4.845,4.72,STR-560656,f,$354.00,Fast,1.0,1.0,False,True,False
within an hour,93%,74%,f,Fenway–Kenmore,t,42.34703,-71.10018,Other,Entire home/apt,5,2.0,2.0,3.0,5,365,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,STR-078269,f,$399.00,Fast,0.93,0.74,False,True,False
within an hour,98%,100%,f,East Boston,t,42.37481721,-71.0318386,Other,Entire home/apt,6,1.0,2.0,2.0,1,365,11,5,4.45,4.5,4.7,4.6,4.7,4.6,4.7,STR-546064,t,$233.00,Fast,0.98,1.0,False,True,True
within an hour,100%,97%,f,Mission Hill,t,42.32644622,-71.10001127,Other,Private room,1,1.0,1.0,0.0,1,365,3,2,4.33,4.33,4.33,4.67,4.67,4.33,4.33,Exempt: This listing is a unit used for furnished institutional or business stays,t,$110.00,Fast,1.0,0.97,False,True,True
within an hour,93%,61%,f,South End,f,42.3424003,-71.0799984,Other,Entire home/apt,2,1.0,1.0,1.0,29,365,0,0,4.84,4.88,4.86,4.94,4.95,4.845,4.72,,f,$35.00,Fast,0.93,0.61,False,False,False
within an hour,100%,100%,t,Franklin Field North,t,42.2959361,-71.0808318,Other,Entire home/apt,3,1.0,1.0,2.0,1,29,12,9,5.0,5.0,5.0,5.0,5.0,4.0,4.43,STR-491593,f,$126.00,Fast,1.0,1.0,True,True,False
within an hour,98%,100%,f,East Boston,t,42.37489851,-71.03205209,Other,Entire home/apt,3,1.0,1.0,1.0,1,365,4,4,4.75,5.0,4.67,5.0,4.33,5.0,5.0,STR-546064,t,$151.00,Fast,0.98,1.0,False,True,True
within an hour,93%,74%,f,Fenway–Kenmore,t,42.32837,-71.11039,Other,Entire home/apt,6,2.0,2.0,0.0,3,365,1,0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,STR-548256,f,$699.00,Fast,0.93,0.74,False,True,False
within an hour,100%,100%,t,Uplands,t,42.32563,-71.07994,Other,Entire home/apt,6,2.0,3.0,0.0,1,365,3,3,5.0,4.5,5.0,5.0,5.0,4.5,4.0,STR-555331,t,$279.00,Fast,1.0,1.0,True,True,True
