host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,price,Host_response_time,Host_reponse_rate,Host_acceptance_rate,Host_is_superhost,Host_identity_verified,Instant_bookable
within an hour,100%,99%,t,Roxbury,t,42.32844,-71.09581,Other,Entire home/apt,2,1.0,1.0,1.0,3,90,5,0,4.79,4.88,4.9,4.95,4.89,4.56,4.75,STR-490093,f,$139.00,Fast,1.0,0.99,True,True,False
within an hour,100%,99%,t,Roxbury,t,42.32802,-71.09387,Apartment,Entire home/apt,4,1.0,0.0,2.0,3,730,4,0,4.81,4.82,4.87,4.9,4.95,4.52,4.72,STR-491702,f,$179.00,Fast,1.0,0.99,True,True,False
within an hour,100%,46%,t,Beacon Hill,t,42.35867,-71.06307,Other,Entire home/apt,2,1.0,1.0,2.0,91,365,3,0,4.69,4.69,4.55,4.93,4.97,4.97,4.59,,f,$92.00,Fast,1.0,0.46,True,True,False
within a day,72%,93%,f,Dorchester,t,42.32212,-71.06096,Other,Entire home/apt,7,1.0,3.0,3.0,30,1125,1,0,4.31,4.5,4.71,4.56,4.46,4.24,4.48,,t,$143.00,Moderate,0.72,0.93,False,True,True
within an hour,100%,100%,f,Charlestown,t,42.37754,-71.06642,Other,Entire home/apt,2,1.0,1.0,1.0,2,28,1,0,4.97,4.96,4.97,5.0,4.97,4.8,4.96,STR-454024,f,$35.00,Fast,1.0,1.0,False,True,False
within a few hours,100%,78%,t,Jamaica Plain,t,42.31347,-71.11082,Other,Private room,2,1.5,1.0,1.0,29,120,5,0,4.98,4.95,5.0,4.97,4.94,4.93,4.93,STR-551851,f,$100.00,Fast,1.0,0.78,True,True,False
within an hour,100%,100%,t,Charlestown,t,42.37424,-71.06081,Other,Entire home/apt,3,1.0,1.0,1.0,29,1125,3,1,4.66,4.68,4.76,4.74,4.71,4.82,4.52,STR-409822,f,$100.00,Fast,1.0,1.0,True,True,False
within an hour,100%,89%,f,Dorchester,t,42.29871,-71.05954,Other,Private room,2,1.5,3.0,3.0,1,365,1,0,4.45,4.53,4.44,4.71,4.71,4.25,4.51,STR-492781,f,$100.00,Fast,1.0,0.89,False,True,False
within a few hours,100%,75%,t,Roxbury,t,42.32546,-71.08894,Other,Private room,1,1.0,1.0,1.0,29,29,2,0,4.73,4.65,4.57,4.87,4.91,4.16,4.63,STR-415714,f,$80.00,Fast,1.0,0.75,True,True,False
within an hour,100%,46%,t,Beacon Hill,t,42.35894,-71.0631,Other,Entire home/apt,2,1.0,1.0,1.0,32,365,0,0,4.84,4.89,4.63,4.84,4.89,5.0,4.68,,f,$105.00,Fast,1.0,0.46,True,True,False
within an hour,100%,46%,t,Beacon Hill,t,42.35689,-71.06206,Apartment,Entire home/apt,3,1.0,1.0,1.0,91,260,1,1,4.84,4.85,4.71,4.9,4.94,4.98,4.81,,f,$35.00,Fast,1.0,0.46,True,True,False
within a few hours,100%,75%,t,Roxbury,t,42.32546,-71.08894,Other,Entire home/apt,3,1.0,2.0,2.0,29,180,0,0,4.75,4.78,4.6,4.88,4.96,4.22,4.66,STR-415714,f,$100.00,Fast,1.0,0.75,True,True,False
within an hour,100%,53%,f,Charlestown,f,42.37865,-71.06373,Other,Private room,2,1.0,1.0,1.0,29,730,6,0,4.36,4.52,4.39,4.41,4.49,4.73,4.39,STR-415924,f,$140.00,Fast,1.0,0.53,False,False,False
within an hour,100%,89%,f,Dorchester,t,42.29871,-71.05954,Other,Private room,2,1.5,3.0,3.0,1,365,1,0,4.41,4.5,4.38,4.58,4.62,4.14,4.42,STR-492781,f,$100.00,Fast,1.0,0.89,False,True,False
within an hour,100%,99%,t,Roxbury,t,42.32806,-71.09423,Apartment,Entire home/apt,6,1.0,2.0,3.0,3,365,14,1,4.68,4.84,4.81,4.89,4.89,4.43,4.66,STR-446659,f,$275.00,Fast,1.0,0.99,True,True,False
within an hour,100%,89%,f,Dorchester,t,42.29871,-71.05954,Other,Private room,2,1.0,1.0,1.0,1,365,1,0,4.44,4.51,4.31,4.53,4.52,4.05,4.35,STR-457920,f,$70.00,Fast,1.0,0.89,False,True,False
within an hour,100%,89%,f,Dorchester,t,42.29871,-71.05954,Other,Private room,2,2.0,2.0,2.0,1,365,1,0,4.5,4.51,4.63,4.68,4.57,4.25,4.48,Exempt: This listing is a hotel or motel,f,$70.00,Fast,1.0,0.89,False,True,False
within an hour,100%,81%,t,Charlestown,t,42.37823,-71.06778,Other,Entire home/apt,4,1.0,1.0,1.0,91,1000,0,0,4.84,4.88,4.86,4.94,4.95,4.845,4.72,STR-539322,t,$264.00,Fast,1.0,0.81,True,True,True
within a few hours,100%,75%,t,Jamaica Plain,t,42.31331,-71.12061,Other,Private room,1,1.0,1.0,1.0,30,90,4,0,4.97,4.95,4.97,5.0,4.98,4.9,4.93,,f,$65.00,Fast,1.0,0.75,True,True,False
within an hour,100%,99%,t,Jamaica Plain,t,42.31533,-71.11025,Other,Entire home/apt,2,1.0,1.0,1.0,3,150,41,5,4.88,4.92,4.91,4.96,4.96,4.91,4.79,STR-409453,f,$142.00,Fast,1.0,0.99,True,True,False
within an hour,100%,89%,f,Dorchester,t,42.29871,-71.05954,Other,Private room,2,1.5,3.0,1.0,1,365,2,0,4.45,4.61,4.52,4.63,4.62,4.24,4.45,STR-457920,f,$101.00,Fast,1.0,0.89,False,True,False
within a few hours,100%,90%,t,Jamaica Plain,t,42.31685,-71.10867,House,Entire home/apt,2,1.0,0.0,1.0,3,60,28,2,4.89,4.93,4.87,4.94,4.94,4.91,4.83,STR-545902,f,$141.00,Fast,1.0,0.9,True,True,False
within an hour,100%,96%,t,North End,t,42.36614,-71.05226,Other,Private room,3,1.0,1.0,1.0,3,1125,22,4,4.93,4.92,4.92,4.95,4.99,4.98,4.83,STR-454055,f,$195.00,Fast,1.0,0.96,True,True,False
within an hour,100%,99%,t,South Boston,t,42.33255,-71.04125,Other,Entire home/apt,4,1.0,2.0,2.0,2,365,39,5,4.85,4.88,4.94,4.95,4.96,4.83,4.72,STR-411297,f,$314.00,Fast,1.0,0.99,True,True,False
within an hour,100%,66%,f,South Boston,t,42.33583,-71.05271,House,Entire home/apt,4,1.0,2.0,2.0,3,150,14,1,4.5,4.29,3.78,4.64,4.81,4.25,4.18,STR-564151,f,$190.00,Fast,1.0,0.66,False,True,False
within an hour,100%,89%,f,Dorchester,t,42.29871,-71.05954,Other,Entire home/apt,4,1.0,2.0,1.0,1,365,0,0,4.36,4.66,4.33,4.65,4.63,3.96,4.33,STR-457920,f,$35.00,Fast,1.0,0.89,False,True,False
within an hour,100%,89%,f,Dorchester,t,42.29871,-71.05954,Other,Private room,1,1.5,3.0,3.0,1,365,35,6,4.6,4.54,4.68,4.77,4.73,4.22,4.52,STR-492781,t,$50.00,Fast,1.0,0.89,False,True,True
within a few hours,100%,93%,t,Jamaica Plain,t,42.31658,-71.11012,Other,Private room,2,1.0,1.0,1.0,5,1125,27,2,4.83,4.82,4.72,4.97,4.97,4.87,4.84,STR-459697,f,$75.00,Fast,1.0,0.93,True,True,False
within an hour,100%,100%,f,Jamaica Plain,t,42.31062,-71.1176,Other,Private room,2,1.0,1.0,1.0,91,120,0,0,4.93,4.81,4.88,4.75,5.0,4.94,4.75,,f,$35.00,Fast,1.0,1.0,False,True,False
within an hour,100%,100%,f,Back Bay,t,42.34914,-71.06781,Other,Entire home/apt,2,1.0,1.0,1.0,180,180,0,0,5.0,4.75,4.63,4.5,4.5,5.0,4.75,,f,$35.00,Fast,1.0,1.0,False,True,False
within a day,72%,93%,f,Dorchester,t,42.31368,-71.0612,House,Entire home/apt,9,2.0,5.0,5.0,30,1125,0,0,4.4,4.67,4.4,4.8,4.59,4.54,4.59,,t,$270.00,Moderate,0.72,0.93,False,True,True
within a day,72%,93%,f,Dorchester,t,42.32212,-71.06096,Other,Entire home/apt,5,1.0,2.0,2.0,30,1125,2,0,4.66,4.84,4.77,4.48,4.52,4.45,4.72,,t,$135.00,Moderate,0.72,0.93,False,True,True
within a day,72%,93%,f,Dorchester,t,42.32212,-71.06095,Other,Entire home/apt,5,1.0,3.0,2.0,30,1125,1,0,4.43,4.64,4.67,4.66,4.47,4.29,4.52,,t,$145.00,Moderate,0.72,0.93,False,True,True
within a day,72%,93%,f,Dorchester,t,42.29192,-71.15407,Other,Entire home/apt,5,1.0,3.0,3.0,30,1125,0,0,4.56,4.63,4.67,4.6,4.42,4.58,4.44,,t,$135.00,Moderate,0.72,0.93,False,True,True
within a few hours,100%,95%,t,Charlestown,t,42.377338,-71.063095,House,Entire home/apt,2,1.0,1.0,1.0,3,1125,15,2,4.79,4.79,4.67,4.98,4.97,4.86,4.74,STR-529113,f,$175.00,Fast,1.0,0.95,True,True,False
within a day,100%,0%,f,South Boston,t,42.33451,-71.04983,Other,Private room,1,1.0,1.0,1.0,1,7,0,0,5.0,5.0,5.0,5.0,5.0,4.88,4.75,STR-398090,f,$35.00,Moderate,1.0,0.0,False,True,False
within an hour,100%,91%,t,Charlestown,t,42.3782692,-71.06332397,Other,Entire home/apt,4,1.0,1.0,2.0,2,60,37,4,4.91,4.95,4.93,4.98,4.97,4.88,4.85,STR-401905,f,$218.00,Fast,1.0,0.91,True,True,False
within an hour,100%,99%,t,Jamaica Plain,t,42.30702,-71.11283,House,Entire home/apt,10,1.0,4.0,1.0,3,30,10,2,4.85,4.77,4.72,4.99,4.97,4.67,4.53,STR-454183,f,$35.00,Fast,1.0,0.99,True,True,False
within an hour,100%,100%,t,Jamaica Plain,t,42.30733,-71.11129,Other,Private room,1,1.0,1.0,1.0,2,31,27,5,4.88,4.9,4.82,4.95,4.97,4.92,4.82,STR-523680,f,$93.00,Fast,1.0,1.0,True,True,False
within an hour,100%,100%,f,Roslindale,f,42.28573,-71.12334,Other,Private room,2,1.0,1.0,2.0,91,1125,0,0,4.82,4.91,4.91,4.91,4.91,4.68,4.85,STR-397984,f,$55.00,Fast,1.0,1.0,False,False,False
within an hour,100%,99%,t,Roxbury,t,42.32795,-71.09412,Apartment,Entire home/apt,4,1.0,0.0,1.0,3,90,5,0,4.85,4.91,4.9,4.86,4.79,4.48,4.81,STR446651,f,$166.00,Fast,1.0,0.99,True,True,False
within an hour,100%,98%,t,Downtown Crossing,t,42.3558,-71.06104,Other,Entire home/apt,4,2.0,1.0,2.0,2,1125,65,5,4.96,4.99,5.0,4.99,5.0,4.88,4.87,STR-411359,t,$541.00,Fast,1.0,0.98,True,True,True
within a few hours,100%,97%,t,Roslindale,t,42.29038,-71.13919,Other,Entire home/apt,8,2.0,3.0,5.0,4,1125,18,2,4.86,4.91,4.86,4.93,4.92,4.72,4.77,STR-456742,f,$339.00,Fast,1.0,0.97,True,True,False
within an hour,100%,100%,f,South End,t,42.344162,-71.070381,Apartment,Entire home/apt,4,1.0,2.0,1.0,3,150,3,0,5.0,5.0,4.92,5.0,5.0,5.0,4.96,STR-397937,f,$35.00,Fast,1.0,1.0,False,True,False
within a few hours,100%,77%,t,North End,t,42.3665,-71.05296,Other,Entire home/apt,4,1.0,1.0,2.0,29,365,27,0,4.7,4.83,4.81,4.82,4.85,4.92,4.72,STR-400168,f,$80.00,Fast,1.0,0.77,True,True,False
within an hour,100%,93%,t,Roslindale,t,42.29017,-71.13169,Other,Private room,2,1.5,1.0,1.0,29,1124,0,0,4.85,4.92,4.79,4.92,4.94,4.77,4.87,STR-408484,f,$100.00,Fast,1.0,0.93,True,True,False
within a few hours,100%,97%,t,Roslindale,t,42.29175,-71.14096,Other,Entire home/apt,2,1.0,1.0,1.0,6,100,1,0,4.9,4.95,4.99,4.91,4.85,4.69,4.85,STR-523304,f,$135.00,Fast,1.0,0.97,True,True,False
within an hour,100%,100%,t,Government Center,t,42.3597641,-71.06116486,Other,Private room,4,1.0,1.0,2.0,91,1125,0,0,4.76,4.79,4.89,4.69,4.82,4.8,4.66,,f,$194.00,Fast,1.0,1.0,True,True,False
within an hour,100%,100%,f,Beacon Hill,f,42.36194,-71.06256,Other,Entire home/apt,3,1.0,1.0,1.0,91,1125,0,0,4.25,4.25,3.75,4.88,4.75,5.0,4.25,,f,$35.00,Fast,1.0,1.0,False,False,False
within an hour,100%,99%,t,Jamaica Plain,t,42.31653,-71.11049,Other,Entire home/apt,2,1.0,1.0,1.0,3,180,25,6,4.83,4.88,4.89,4.95,4.94,4.9,4.8,STR-409453,f,$136.00,Fast,1.0,0.99,True,True,False
a few days or more,0%,100%,f,Back Bay,t,42.34475,-71.08204,Other,Private room,1,1.0,1.0,1.0,29,365,0,0,4.63,4.63,4.69,4.82,4.84,4.98,4.6,STR-398748,f,$214.00,Slow,0.0,1.0,False,True,False
within an hour,100%,46%,t,Beacon Hill,t,42.33395767,-71.10222626,Other,Entire home/apt,2,2.0,1.0,1.0,91,260,0,0,4.68,4.87,4.6,4.9,4.76,4.83,4.72,,f,$125.00,Fast,1.0,0.46,True,True,False
within an hour,100%,100%,f,Jamaica Plain,t,42.32031,-71.1129,Apartment,Entire home/apt,8,2.0,4.0,6.0,2,1125,5,1,4.74,4.84,4.74,4.86,4.8,4.69,4.61,STR-399217,f,$519.00,Fast,1.0,1.0,False,True,False
within an hour,100%,98%,t,North End,f,42.36489,-71.05198,Other,Entire home/apt,6,1.0,3.0,3.0,2,30,33,1,4.76,4.76,4.78,4.92,4.89,4.95,4.6,STR-466324,f,$571.00,Fast,1.0,0.98,True,False,False
within an hour,100%,100%,f,Beacon Hill,t,42.35977,-71.06774,Other,Entire home/apt,2,1.0,1.0,1.0,91,365,0,0,4.92,4.98,4.84,4.89,4.97,5.0,4.7,,f,$35.00,Fast,1.0,1.0,False,True,False
within an hour,100%,100%,f,West End,t,42.35714,-71.06968,Other,Entire home/apt,2,1.0,1.0,2.0,91,180,0,0,4.45,4.91,4.48,4.83,4.83,5.0,4.39,,f,$425.00,Fast,1.0,1.0,False,True,False
within an hour,100%,98%,t,Dorchester,t,42.30907,-71.04674,Other,Entire home/apt,4,1.0,2.0,4.0,2,45,40,8,4.88,4.92,4.95,4.94,4.89,4.8,4.88,STR-487240,f,$140.00,Fast,1.0,0.98,True,True,False
within a few hours,100%,75%,t,Roxbury,t,42.32546,-71.08894,Other,Private room,1,1.0,1.0,1.0,29,180,2,0,4.83,4.87,4.56,4.93,4.89,4.2,4.71,STR-415714,f,$70.00,Fast,1.0,0.75,True,True,False
within a few hours,100%,75%,t,Roxbury,t,42.32546,-71.08894,Other,Private room,1,1.0,1.0,1.0,29,180,6,0,4.85,4.83,4.6,4.96,4.92,4.29,4.65,STR-415714,f,$35.00,Fast,1.0,0.75,True,True,False
within a few hours,100%,75%,t,Roxbury,t,42.32546,-71.08894,Other,Private room,1,1.0,1.0,1.0,29,120,2,0,4.93,4.7,4.44,4.93,4.81,4.3,4.7,STR-415714,f,$75.00,Fast,1.0,0.75,True,True,False
within an hour,100%,69%,f,South End,t,42.34164,-71.07964,Other,Private room,4,2.5,2.0,2.0,2,1125,2,0,4.79,4.95,4.95,4.84,4.95,4.97,4.47,STR-446784,f,$449.00,Fast,1.0,0.69,False,True,False
within an hour,100%,67%,t,Charlestown,t,42.38017,-71.06236,Other,Private room,1,1.0,1.0,1.0,29,90,3,0,4.72,4.79,4.8,4.79,4.81,4.71,4.64,,f,$65.00,Fast,1.0,0.67,True,True,False
within an hour,100%,98%,t,Dorchester,t,42.30856,-71.04646,Other,Private room,3,1.0,1.0,2.0,1,21,57,8,4.88,4.92,4.93,4.91,4.88,4.82,4.86,STR-487240,f,$73.00,Fast,1.0,0.98,True,True,False
within an hour,100%,100%,f,Dorchester,t,42.38324,-71.07852,Other,Entire home/apt,2,1.0,0.0,1.0,75,120,0,0,4.91,4.87,4.96,4.98,4.96,4.68,4.77,STR-447717,f,$199.00,Fast,1.0,1.0,False,True,False
within an hour,100%,100%,t,Charlestown,t,42.37243,-71.06349,Other,Entire home/apt,4,1.0,2.0,1.0,4,30,12,0,4.99,4.96,4.99,4.97,5.0,5.0,4.94,STR-398614,f,$35.00,Fast,1.0,1.0,True,True,False
within a few hours,100%,86%,t,Allston-Brighton,t,42.34873,-71.15693,Other,Entire home/apt,2,1.0,1.0,1.0,2,14,13,6,4.76,4.85,4.71,4.87,4.88,4.84,4.74,STR-383211,f,$145.00,Fast,1.0,0.86,True,True,False
within an hour,100%,100%,f,Back Bay,t,42.34175,-71.08359,Other,Entire home/apt,4,2.0,2.0,2.0,91,365,0,0,4.85,4.93,4.58,4.88,4.88,5.0,4.73,,f,$415.00,Fast,1.0,1.0,False,True,False
within an hour,100%,100%,t,Back Bay,t,42.34988,-71.06918,Other,Entire home/apt,9,1.0,3.0,1.0,29,1124,25,0,4.98,4.99,4.94,4.94,4.98,4.96,4.86,STR-466119,t,$35.00,Fast,1.0,1.0,True,True,True
within an hour,100%,82%,t,Roxbury,t,42.3256,-71.09413,Other,Private room,1,2.0,1.0,1.0,31,36,0,0,4.83,4.92,4.63,4.96,5.0,4.71,4.71,STR-383293,f,$59.00,Fast,1.0,0.82,True,True,False
within an hour,100%,100%,f,Dorchester,t,42.33835,-71.0472,Other,Private room,2,1.0,1.0,1.0,1,365,90,7,4.85,4.91,4.88,4.93,4.94,4.86,4.74,STR-401177,f,$132.00,Fast,1.0,1.0,False,True,False
within a day,63%,71%,f,Roxbury,f,42.32382,-71.09641,Other,Entire home/apt,2,1.5,1.0,2.0,30,1125,3,0,4.85,4.91,4.9,4.88,4.79,4.55,4.8,Exempt: This listing is a unit used for furnished institutional or business stays,f,$115.00,Moderate,0.63,0.71,False,False,False
within a day,71%,0%,f,Roslindale,f,42.28639,-71.13199,Other,Entire home/apt,2,1.0,1.0,1.0,29,365,1,0,4.91,4.9,5.0,4.9,4.91,4.73,4.82,,f,$35.00,Moderate,0.71,0.0,False,False,False
within a day,71%,0%,f,Roslindale,f,42.28447,-71.13301,House,Entire home/apt,4,1.0,2.0,1.0,29,365,0,0,4.61,4.86,4.81,4.95,4.79,4.56,4.65,,f,$35.00,Moderate,0.71,0.0,False,False,False
within an hour,100%,100%,t,Dorchester,t,42.29009,-71.05762,Other,Private room,2,1.0,1.0,1.0,1,28,14,0,4.88,4.93,4.68,4.98,5.0,4.68,4.79,STR-456144,f,$70.00,Fast,1.0,1.0,True,True,False
within a day,80%,0%,f,South End,t,42.34279,-71.0711,Other,Entire home/apt,8,2.5,3.0,4.0,5,1125,0,0,4.96,4.94,4.91,4.91,4.96,4.98,4.7,STR-520680,f,$985.00,Moderate,0.8,0.0,False,True,False
within a few hours,100%,100%,f,Fenway/Kenmore,t,42.34981,-71.09476,Apartment,Entire home/apt,1,1.0,2.0,1.0,91,365,0,0,4.0,4.5,3.0,3.5,4.5,5.0,3.5,,f,$265.00,Fast,1.0,1.0,False,True,False
within an hour,100%,100%,f,Beacon Hill,t,42.35985,-71.0717,Other,Entire home/apt,4,1.0,2.0,1.0,91,1125,0,0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,f,$35.00,Fast,1.0,1.0,False,True,False
within an hour,100%,100%,f,Jamaica Plain,t,42.3079,-71.12378,Other,Entire home/apt,6,1.0,3.0,1.0,91,250,0,0,4.41,4.54,4.43,4.65,4.7,4.42,4.41,,f,$35.00,Fast,1.0,1.0,False,True,False
within an hour,100%,100%,f,Jamaica Plain,t,42.30593,-71.10733,Other,Private room,2,1.0,1.0,1.0,91,1125,0,0,4.62,4.81,4.58,4.83,4.86,4.56,4.36,,f,$120.00,Fast,1.0,1.0,False,True,False
within an hour,100%,45%,f,South Boston,t,42.3358,-71.04948,Apartment,Entire home/apt,6,2.0,2.0,4.0,29,1125,4,1,4.86,4.86,4.81,4.9,4.95,4.95,4.62,STR-461452,f,$500.00,Fast,1.0,0.45,False,True,False
within an hour,100%,45%,f,South Boston,t,42.33375,-71.04767,Other,Private room,3,1.0,1.0,1.0,29,1125,1,0,4.73,4.82,4.79,4.96,4.99,4.79,4.73,STR-383155,f,$220.00,Fast,1.0,0.45,False,True,False
within an hour,100%,100%,f,Back Bay,f,42.3504,-71.08891,Other,Entire home/apt,2,1.0,1.0,1.0,91,1125,0,0,4.31,4.59,3.75,4.84,5.0,4.97,4.47,,f,$35.00,Fast,1.0,1.0,False,False,False
within a few hours,100%,91%,t,Beacon Hill,t,42.35771,-71.06978,Other,Entire home/apt,2,1.0,0.0,1.0,29,1125,7,1,4.85,4.85,4.86,4.92,4.92,4.99,4.7,STR-395757,f,$190.00,Fast,1.0,0.91,True,True,False
within an hour,100%,100%,f,Downtown Crossing,t,42.3559,-71.05998,Other,Entire home/apt,6,1.0,2.0,1.0,91,1125,0,0,4.86,4.86,4.57,4.71,4.86,5.0,4.57,,f,$35.00,Fast,1.0,1.0,False,True,False
within an hour,100%,86%,f,Allston-Brighton,f,42.34995,-71.13427,Other,Entire home/apt,2,1.0,1.0,1.0,30,120,4,1,4.83,4.83,4.7,4.9,4.94,4.79,4.71,,f,$130.00,Fast,1.0,0.86,False,False,False
within an hour,100%,100%,f,Jamaica Plain,t,42.30554,-71.10685,Other,Private room,2,1.0,1.0,1.0,31,1125,0,0,4.88,4.75,4.63,4.63,4.88,4.63,4.63,,f,$161.00,Fast,1.0,1.0,False,True,False
within an hour,100%,100%,t,Back Bay,f,42.34877,-71.08418,Other,Entire home/apt,5,2.0,2.0,2.0,10,365,8,2,4.96,4.98,4.99,4.97,4.99,4.98,4.75,STR-441410,t,$571.00,Fast,1.0,1.0,True,False,True
within a few hours,100%,76%,t,South End,t,42.34125,-71.07604,Other,Entire home/apt,4,1.0,1.0,1.0,33,1125,5,0,4.78,4.9,4.71,4.95,4.91,4.86,4.76,,f,$134.00,Fast,1.0,0.76,True,True,False
within a few hours,100%,82%,t,Jamaica Plain,t,42.31146,-71.11947,Other,Entire home/apt,2,1.0,1.0,1.0,2,14,13,2,4.96,4.94,4.99,4.95,4.97,4.96,4.89,STR-545109,f,$35.00,Fast,1.0,0.82,True,True,False
within a few hours,100%,89%,t,Allston-Brighton,t,42.34391,-71.15628,Other,Entire home/apt,2,1.0,1.0,1.0,91,1125,1,0,4.9,4.8,4.8,4.9,4.8,4.9,4.9,,f,$75.00,Fast,1.0,0.89,True,True,False
within an hour,100%,100%,f,South End,t,42.34568,-71.07169,Other,Entire home/apt,2,1.0,1.0,1.0,29,1125,0,0,4.86,4.94,4.67,4.97,4.98,4.98,4.77,STR-416118,f,$35.00,Fast,1.0,1.0,False,True,False
within an hour,100%,100%,t,Beacon Hill,t,42.35702,-71.06168,Other,Entire home/apt,2,1.0,1.0,1.0,91,1124,0,0,4.67,4.72,4.53,4.78,4.78,5.0,4.69,,t,$135.00,Fast,1.0,1.0,True,True,True
within a few hours,100%,89%,t,Allston-Brighton,t,42.34272,-71.15672,Other,Entire home/apt,2,1.0,1.0,1.0,91,1125,0,0,4.83,4.83,4.61,4.94,4.94,4.78,4.61,,f,$67.00,Fast,1.0,0.89,True,True,False
within an hour,100%,100%,f,Dorchester,t,42.35429,-71.13251,Other,Private room,2,1.0,1.0,1.0,91,1125,0,0,4.25,4.75,4.08,4.25,4.67,4.83,4.5,,f,$35.00,Fast,1.0,1.0,False,True,False
within an hour,100%,100%,f,Back Bay,t,42.34868,-71.07043,Apartment,Entire home/apt,2,1.0,2.0,1.0,29,30,0,0,4.88,4.96,4.92,5.0,4.96,5.0,4.81,STR-398102,f,$35.00,Fast,1.0,1.0,False,True,False
within an hour,100%,100%,f,Beacon Hill,t,42.35902,-71.06296,Other,Entire home/apt,4,1.0,1.0,2.0,365,1125,0,0,4.87,4.95,4.82,4.99,4.97,5.0,4.75,,f,$150.00,Fast,1.0,1.0,False,True,False
within an hour,100%,81%,t,Charlestown,t,42.38148,-71.06967,Other,Private room,5,2.0,3.0,4.0,29,352,0,0,4.84,4.88,4.86,4.94,4.95,4.845,4.72,Exempt: This listing is a unit that has contracts with hospitals,f,$650.00,Fast,1.0,0.81,True,True,False
within an hour,100%,85%,t,Hyde Park,f,42.26043,-71.11766,House,Entire home/apt,8,1.5,4.0,4.0,2,365,16,1,4.94,4.99,4.96,4.98,4.99,4.63,4.85,STR-429200,f,$260.00,Fast,1.0,0.85,True,False,False
within an hour,100%,28%,f,Hyde Park,t,42.23533,-71.13256,Other,Entire home/apt,4,1.0,2.0,1.0,29,1125,1,0,4.5,4.57,4.5,4.82,4.97,4.47,4.63,,f,$35.00,Fast,1.0,0.28,False,True,False
within an hour,97%,96%,f,Dorchester,t,42.28814,-71.06889,Other,Private room,1,1.0,1.0,1.0,30,365,2,0,4.91,4.91,4.64,5.0,4.91,4.36,4.73,,f,$52.00,Fast,0.97,0.96,False,True,False
within an hour,100%,89%,t,Roslindale,t,42.28657,-71.13236,Other,Entire home/apt,3,1.0,1.0,2.0,2,1125,23,2,4.86,4.9,4.93,4.96,4.98,4.84,4.81,STR-544893,f,$161.00,Fast,1.0,0.89,True,True,False
within a few hours,100%,88%,t,Dorchester,t,42.31281,-71.06098,Other,Entire home/apt,4,1.0,1.0,1.0,2,40,18,2,4.54,4.66,4.54,4.82,4.8,4.59,4.54,STR-547060,f,$131.00,Fast,1.0,0.88,True,True,False
a few days or more,0%,100%,f,Dorchester,t,42.34512,-71.06492,Other,Entire home/apt,1,1.0,1.0,2.0,91,1125,0,0,4.84,4.88,4.86,4.94,4.95,4.845,4.72,,f,$160.00,Slow,0.0,1.0,False,True,False
within an hour,99%,97%,t,Roxbury,t,42.32811,-71.09157,Other,Private room,2,1.0,1.0,2.0,2,110,65,6,4.94,4.95,4.96,4.95,4.96,4.65,4.84,STR-538100,f,$114.00,Fast,0.99,0.97,True,True,False
within a few hours,100%,100%,t,Roxbury,t,42.31907,-71.09252,Other,Entire home/apt,3,1.0,0.0,2.0,28,730,10,1,4.93,4.98,4.98,4.97,4.97,4.61,4.85,STR-396299,f,$125.00,Fast,1.0,1.0,True,True,False
within a few hours,100%,100%,f,Allston-Brighton,t,42.35564,-71.15746,House,Entire home/apt,8,1.0,3.0,1.0,29,1125,2,0,4.96,4.96,4.85,5.0,4.98,4.81,4.91,STR-544892,f,$35.00,Fast,1.0,1.0,False,True,False
within an hour,100%,100%,f,Dorchester,t,42.351,-71.08899,Other,Entire home/apt,4,1.0,1.0,1.0,91,365,0,0,4.44,4.37,3.96,4.67,4.67,4.81,4.26,,f,$35.00,Fast,1.0,1.0,False,True,False
within an hour,100%,100%,t,Beacon Hill,t,42.35884,-71.06332,Other,Entire home/apt,2,1.0,1.0,1.0,91,365,0,0,4.8,4.88,4.8,4.85,4.91,4.98,4.75,,f,$288.00,Fast,1.0,1.0,True,True,False
within a day,72%,93%,f,Dorchester,t,42.32213,-71.06094,Other,Entire home/apt,6,1.0,3.0,3.0,30,90,0,0,4.39,4.87,4.67,4.42,4.61,4.32,4.61,,f,$145.00,Moderate,0.72,0.93,False,True,False
within an hour,100%,100%,f,Beacon Hill,t,42.35844,-71.06153,Other,Entire home/apt,2,1.0,1.0,1.0,91,1125,0,0,4.84,4.88,4.86,4.94,4.95,4.845,4.72,,f,$35.00,Fast,1.0,1.0,False,True,False
within a few hours,100%,94%,t,Roxbury,t,42.32843,-71.09369,Other,Entire home/apt,4,1.0,1.0,1.0,2,150,29,1,4.77,4.9,4.86,4.96,4.96,4.64,4.75,STR-528095,f,$159.00,Fast,1.0,0.94,True,True,False
within an hour,100%,100%,f,Dorchester,t,42.28512,-71.07672,Other,Shared room,1,1.0,1.0,1.0,29,31,0,0,5.0,5.0,5.0,5.0,5.0,4.33,5.0,STR-460055,f,$200.00,Fast,1.0,1.0,False,True,False
